Test,First,Function,Iterations,GA%,PSO%,GA iterations,PSO iterations,X,Y
1,GA,2,20,100.0%,0.0%,20.0,0.0,0.2345,0.4471
1,GA,2,20,80.0%,20.0%,16.0,4.0,1.358,-0.6414
1,GA,2,20,60.00000000000001%,40.0%,12.000000000000002,8.0,0.9997,-0.0054
1,GA,2,20,40.00000000000001%,60.00000000000001%,8.000000000000002,12.000000000000002,1.5501,-0.6834
1,GA,2,20,20.000000000000007%,80.0%,4.000000000000002,16.0,1.5503,-0.6834
1,PSO,2,20,0.0%,100.0%,0.0,20.0,1.7302,-0.4172
1,PSO,2,20,20.0%,80.0%,4.0,16.0,1.5534,-0.6784
1,PSO,2,20,40.0%,60.00000000000001%,8.0,12.000000000000002,1.5495,-0.6834
1,PSO,2,20,60.00000000000001%,40.00000000000001%,12.000000000000002,8.000000000000002,1.5492,-0.6833
1,PSO,2,20,80.0%,20.000000000000007%,16.0,4.000000000000002,1.5498,-0.6835
1,GA,2,40,100.0%,0.0%,40.0,0.0,1.0889,0.187
1,GA,2,40,80.0%,20.0%,32.0,8.0,1.5483,-0.6825
1,GA,2,40,60.00000000000001%,40.0%,24.000000000000004,16.0,1.5519,-0.6818
1,GA,2,40,40.00000000000001%,60.00000000000001%,16.000000000000004,24.000000000000004,1.5499,-0.6835
1,GA,2,40,20.000000000000007%,80.0%,8.000000000000004,32.0,1.5499,-0.6835
1,PSO,2,40,0.0%,100.0%,0.0,40.0,1.2998,0.0124
1,PSO,2,40,20.0%,80.0%,8.0,32.0,1.5535,-0.6782
1,PSO,2,40,40.0%,60.00000000000001%,16.0,24.000000000000004,1.5513,-0.6827
1,PSO,2,40,60.00000000000001%,40.00000000000001%,24.000000000000004,16.000000000000004,1.5498,-0.6835
1,PSO,2,40,80.0%,20.000000000000007%,32.0,8.000000000000004,1.5498,-0.6835
1,GA,2,60,100.0%,0.0%,60.0,0.0,0.4271,0.2681
1,GA,2,60,80.0%,20.0%,48.0,12.0,1.549,-0.6832
1,GA,2,60,60.00000000000001%,40.0%,36.00000000000001,24.0,1.5498,-0.6835
1,GA,2,60,40.00000000000001%,60.00000000000001%,24.000000000000004,36.00000000000001,1.5498,-0.6835
1,GA,2,60,20.000000000000007%,80.0%,12.000000000000004,48.0,1.5498,-0.6835
1,PSO,2,60,0.0%,100.0%,0.0,60.0,1.2998,0.0126
1,PSO,2,60,20.0%,80.0%,12.0,48.0,1.5513,-0.6827
1,PSO,2,60,40.0%,60.00000000000001%,24.0,36.00000000000001,1.5498,-0.6835
1,PSO,2,60,60.00000000000001%,40.00000000000001%,36.00000000000001,24.000000000000004,1.5498,-0.6835
1,PSO,2,60,80.0%,20.000000000000007%,48.0,12.000000000000004,1.5497,-0.6835
1,GA,2,80,100.0%,0.0%,80.0,0.0,1.3664,-0.5769
1,GA,2,80,80.0%,20.0%,64.0,16.0,1.5495,-0.6834
1,GA,2,80,60.00000000000001%,40.0%,48.00000000000001,32.0,1.5498,-0.6835
1,GA,2,80,40.00000000000001%,60.00000000000001%,32.00000000000001,48.00000000000001,1.5498,-0.6835
1,GA,2,80,20.000000000000007%,80.0%,16.000000000000007,64.0,1.5498,-0.6835
1,PSO,2,80,0.0%,100.0%,0.0,80.0,1.5441,-0.6711
1,PSO,2,80,20.0%,80.0%,16.0,64.0,1.5513,-0.6827
1,PSO,2,80,40.0%,60.00000000000001%,32.0,48.00000000000001,1.5513,-0.6826
1,PSO,2,80,60.00000000000001%,40.00000000000001%,48.00000000000001,32.00000000000001,1.5497,-0.6835
1,PSO,2,80,80.0%,20.000000000000007%,64.0,16.000000000000007,1.5498,-0.6835
1,GA,2,100,100.0%,0.0%,100.0,0.0,1.287,0.2632
1,GA,2,100,80.0%,20.0%,80.0,20.0,1.5501,-0.6834
1,GA,2,100,60.00000000000001%,40.0%,60.00000000000001,40.0,1.5498,-0.6835
1,GA,2,100,40.00000000000001%,60.00000000000001%,40.00000000000001,60.00000000000001,1.5494,-0.6834
1,GA,2,100,20.000000000000007%,80.0%,20.000000000000007,80.0,1.5498,-0.6835
1,PSO,2,100,0.0%,100.0%,0.0,100.0,1.2998,0.0125
1,PSO,2,100,20.0%,80.0%,20.0,80.0,1.5498,-0.6835
1,PSO,2,100,40.0%,60.00000000000001%,40.0,60.00000000000001,1.5495,-0.6834
1,PSO,2,100,60.00000000000001%,40.00000000000001%,60.00000000000001,40.00000000000001,1.5498,-0.6835
1,PSO,2,100,80.0%,20.000000000000007%,80.0,20.000000000000007,1.5497,-0.6835
