Test,First,Function,Iterations,GA%,PSO%,GA iterations,PSO iterations,Current iteration,Current Algorithm,Gen/Epoch#,Indv #,X,Y
1,GA,1,20,100.0%,0.0%,20.0,0.0,0,GA,0,48,-6.3992,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,0,GA,0,49,-3.5662000000000003,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,0,4.4048,33.59611194234757
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,1,2.3132,3.6771785970373907
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,2,1.0945999999999998,0.2560055281047583
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,3,-6.7966999999999995,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,4,-4.8868,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,5,-0.9535,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,6,1.0745000000000005,0.11906448251712132
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,7,-4.7445,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,8,-0.9757999999999996,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,9,1.1969999999999992,2.145440667120663
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,10,-0.8834,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,11,-4.9436,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,12,0.17099999999999937,1.097644588673382
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,13,1.3046000000000006,1.3063693773196554
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,14,2.3130000000000006,3.673807185387467
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,15,-2.9147,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,16,-3.6666,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,17,-8.7705,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,18,1.3818000000000001,0.7948697437868895
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,19,-7.8004999999999995,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,20,-8.7437,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,21,0.2796000000000003,1.0959454957302188
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,22,2.3474000000000004,4.977714426216478
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,23,1.3051999999999992,1.2939420336944285
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,24,1.0741999999999994,0.11811092402341272,bestInCurrentpop
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,25,1.0751000000000008,0.12106814086317885
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,26,-0.7705000000000002,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,27,3.1434999999999995,10.860016814888057
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,28,-7.7486999999999995,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,29,3.0242000000000004,10.078235657959352
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,30,4.406000000000001,33.660522578693524
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,31,1.2767999999999997,1.877186789144341
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,32,-4.6645,10.0
1,GA,1,20,100.0%,0.0%,20.0,0.0,1,GA,1,33,-0.8331,10.0
