Test,First,Function,Iterations,GA%,PSO%,GA iterations,PSO iterations,X,Y
1,GA,2,20,100.0%,0.0%,20.0,0.0,1.3915,-0.1614
1,GA,2,20,80.0%,20.0%,16.0,4.0,1.5444,-0.672
1,GA,2,20,60.00000000000001%,40.0%,12.000000000000002,8.0,1.5495,-0.6834
1,GA,2,20,40.00000000000001%,60.00000000000001%,8.000000000000002,12.000000000000002,1.5493,-0.6834
1,GA,2,20,20.000000000000007%,80.0%,4.000000000000002,16.0,1.5496,-0.6834
1,PSO,2,20,0.0%,100.0%,0.0,20.0,1.5491,-0.6833
1,PSO,2,20,20.0%,80.0%,4.0,16.0,1.5536,-0.678
1,PSO,2,20,40.0%,60.00000000000001%,8.0,12.000000000000002,1.4848,0.3965
1,PSO,2,20,60.00000000000001%,40.00000000000001%,12.000000000000002,8.000000000000002,1.4231,0.5043
1,PSO,2,20,80.0%,20.000000000000007%,16.0,4.000000000000002,1.5793,-0.3654
1,GA,2,40,100.0%,0.0%,40.0,0.0,0.284,0.3315
1,GA,2,40,80.0%,20.0%,32.0,8.0,1.55,-0.6834
1,GA,2,40,60.00000000000001%,40.0%,24.000000000000004,16.0,1.5495,-0.6834
1,GA,2,40,40.00000000000001%,60.00000000000001%,16.000000000000004,24.000000000000004,1.5499,-0.6835
1,GA,2,40,20.000000000000007%,80.0%,8.000000000000004,32.0,1.5498,-0.6835
1,PSO,2,40,0.0%,100.0%,0.0,40.0,1.5499,-0.6835
1,PSO,2,40,20.0%,80.0%,8.0,32.0,1.5499,-0.6835
1,PSO,2,40,40.0%,60.00000000000001%,16.0,24.000000000000004,2.7963,10.2446
1,PSO,2,40,60.00000000000001%,40.00000000000001%,24.000000000000004,16.000000000000004,1.4676,0.6723
1,PSO,2,40,80.0%,20.000000000000007%,32.0,8.000000000000004,1.5358,-0.6103
1,GA,2,60,100.0%,0.0%,60.0,0.0,0.9718,-0.3769
1,GA,2,60,80.0%,20.0%,48.0,12.0,1.5512,-0.6828
1,GA,2,60,60.00000000000001%,40.0%,36.00000000000001,24.0,1.5497,-0.6835
