Test,First,Function,Iterations,GA%,PSO%,GA iterations,PSO iterations,X,Y
1,GA,2,20,100.0%,0.0%,20.0,0.0,1.0996,0.0086
1,GA,2,20,80.0%,20.0%,16.0,4.0,1.4346,0.6696
1,GA,2,20,60.00000000000001%,40.0%,12.000000000000002,8.0,1.542,-0.6604
1,GA,2,20,40.00000000000001%,60.00000000000001%,8.000000000000002,12.000000000000002,1.5498,-0.6835
1,GA,2,20,20.000000000000007%,80.0%,4.000000000000002,16.0,1.5497,-0.6835
1,PSO,2,20,0.0%,100.0%,0.0,20.0,1.7388,-0.5173
1,PSO,2,20,20.0%,80.0%,4.0,16.0,1.3188,-0.3568
1,PSO,2,20,40.0%,60.00000000000001%,8.0,12.000000000000002,1.5516,-0.6822
1,PSO,2,20,60.00000000000001%,40.00000000000001%,12.000000000000002,8.000000000000002,0.7516,-0.3715
1,PSO,2,20,80.0%,20.000000000000007%,16.0,4.000000000000002,1.589,-0.1504
1,GA,2,40,100.0%,0.0%,40.0,0.0,0.4334,0.2908
1,GA,2,40,80.0%,20.0%,32.0,8.0,1.5497,-0.6835
1,GA,2,40,60.00000000000001%,40.0%,24.000000000000004,16.0,0.7334,-0.3126
1,GA,2,40,40.00000000000001%,60.00000000000001%,16.000000000000004,24.000000000000004,1.5498,-0.6835
1,GA,2,40,20.000000000000007%,80.0%,8.000000000000004,32.0,1.5499,-0.6835
1,PSO,2,40,0.0%,100.0%,0.0,40.0,1.7805,-0.1432
1,PSO,2,40,20.0%,80.0%,8.0,32.0,1.5496,-0.6834
1,PSO,2,40,40.0%,60.00000000000001%,16.0,24.000000000000004,1.5495,-0.6834
1,PSO,2,40,60.00000000000001%,40.00000000000001%,24.000000000000004,16.000000000000004,1.5513,-0.6827
1,PSO,2,40,80.0%,20.000000000000007%,32.0,8.000000000000004,1.5498,-0.6835
1,GA,2,60,100.0%,0.0%,60.0,0.0,0.7909,-0.1101
1,GA,2,60,80.0%,20.0%,48.0,12.0,1.549,-0.6832
1,GA,2,60,60.00000000000001%,40.0%,36.00000000000001,24.0,1.55,-0.6835
1,GA,2,60,40.00000000000001%,60.00000000000001%,24.000000000000004,36.00000000000001,1.5499,-0.6835
1,GA,2,60,20.000000000000007%,80.0%,12.000000000000004,48.0,1.5498,-0.6835
1,PSO,2,60,0.0%,100.0%,0.0,60.0,1.3042,-0.0772
1,PSO,2,60,20.0%,80.0%,12.0,48.0,1.5515,-0.6825
1,PSO,2,60,40.0%,60.00000000000001%,24.0,36.00000000000001,1.5498,-0.6835
1,PSO,2,60,60.00000000000001%,40.00000000000001%,36.00000000000001,24.000000000000004,1.5498,-0.6835
1,PSO,2,60,80.0%,20.000000000000007%,48.0,12.000000000000004,1.5498,-0.6835
1,GA,2,80,100.0%,0.0%,80.0,0.0,0.726,-0.2582
1,GA,2,80,80.0%,20.0%,64.0,16.0,1.5503,-0.6834
1,GA,2,80,60.00000000000001%,40.0%,48.00000000000001,32.0,1.5498,-0.6835
1,GA,2,80,40.00000000000001%,60.00000000000001%,32.00000000000001,48.00000000000001,1.5498,-0.6835
1,GA,2,80,20.000000000000007%,80.0%,16.000000000000007,64.0,1.5498,-0.6835
1,PSO,2,80,0.0%,100.0%,0.0,80.0,1.2998,0.0125
1,PSO,2,80,20.0%,80.0%,16.0,64.0,1.5198,-0.3697
1,PSO,2,80,40.0%,60.00000000000001%,32.0,48.00000000000001,1.5513,-0.6827
1,PSO,2,80,60.00000000000001%,40.00000000000001%,48.00000000000001,32.00000000000001,1.5495,-0.6834
1,PSO,2,80,80.0%,20.000000000000007%,64.0,16.000000000000007,1.5513,-0.6827
1,GA,2,100,100.0%,0.0%,100.0,0.0,0.0262,0.9091
1,GA,2,100,80.0%,20.0%,80.0,20.0,1.5498,-0.6835
1,GA,2,100,60.00000000000001%,40.0%,60.00000000000001,40.0,1.5498,-0.6835
1,GA,2,100,40.00000000000001%,60.00000000000001%,40.00000000000001,60.00000000000001,1.5498,-0.6835
1,GA,2,100,20.000000000000007%,80.0%,20.000000000000007,80.0,1.5498,-0.6835
1,PSO,2,100,0.0%,100.0%,0.0,100.0,1.5469,-0.6803
1,PSO,2,100,20.0%,80.0%,20.0,80.0,1.5498,-0.6835
1,PSO,2,100,40.0%,60.00000000000001%,40.0,60.00000000000001,1.5495,-0.6834
1,PSO,2,100,60.00000000000001%,40.00000000000001%,60.00000000000001,40.00000000000001,1.5513,-0.6827
1,PSO,2,100,80.0%,20.000000000000007%,80.0,20.000000000000007,1.5495,-0.6834
